#Frequency[Hz] NS_woA  WE_woA  Z_woA NS_wA WE_wA Z_wA            
1.8828125 1.00191E-09 2.1128E-09  1.73167E-09 1.66036E-09 4.51709E-09 2.46006E-09
1.890625  1.55119E-09 1.31325E-09 6.49633E-10 1.3869E-09  3.12847E-09 1.65978E-09
1.8984375 1.70449E-09 2.33933E-09 1.34054E-09 1.44074E-09 2.24975E-09 1.1503E-09
1.90625 1.46626E-09 2.1278E-09  1.1424E-09  1.28223E-09 2.10031E-09 1.11118E-09
1.9140625 2.32828E-09 1.06658E-09 8.18258E-10 1.00762E-09 2.96928E-09 1.37702E-09
1.921875  2.25229E-09 1.97992E-09 1.22238E-09 1.41679E-09 4.06191E-09 1.67557E-09
1.9296875 2.19954E-09 2.46058E-09 1.30568E-09 1.26864E-09 3.87984E-09 1.59829E-09
1.9375  1.73763E-09 1.7458E-09  1.26006E-09 1.60023E-09 3.37347E-09 1.466E-09
1.9453125 1.88379E-09 1.71704E-09 1.67414E-09 2.46388E-09 3.40812E-09 1.38867E-09
1.953125  2.41054E-09 1.93397E-09 1.65745E-09 2.32198E-09 2.85551E-09 1.11626E-09
1.9609375 2.97002E-09 2.88544E-09 1.42738E-09 1.85183E-09 2.24724E-09 9.73342E-10
1.96875 2.73224E-09 2.23161E-09 8.88644E-10 1.86993E-09 1.94156E-09 9.36477E-10
1.9765625 2.26615E-09 2.41954E-09 6.75724E-10 2.2534E-09  2.05868E-09 8.18796E-10
1.984375  2.28471E-09 2.73115E-09 5.5694E-10  2.34554E-09 2.83492E-09 9.54363E-10
1.9921875 2.06048E-09 2.27278E-09 8.28891E-10 2.11782E-09 2.99435E-09 8.59236E-10
